nome,tmdb_id,biografia,data_nascita,luogo_nascita
Bryan Singer,9032,"Bryan Jay Singer (born September 17, 1965) is an American director, producer and writer. He is the founder of Bad Hat Harry Productions and has produced almost all of the films he has directed, as well as multiple television series.

After graduating from the University of Southern California, Singer directed his first short film, Lion's Den (1988). On the basis of that film, he received financing for his next film, Public Access (1993), which was a co-winner of the Grand Jury Prize at the 1993 Sundance Film Festival. In the mid-1990s, Singer received critical acclaim for directing the neo-noir crime thriller The Usual Suspects (1995). He followed this with another thriller, Apt Pupil (1998), an adaptation of a Stephen King novella about a boy's fascination with a Nazi war criminal.

In the 2000s, he became known for big budget superhero films such as X-Men (2000), for which Singer won the 2000 Saturn Award for Best Director, its sequel X2 (2003), and Superman Returns (2006). He then directed the World War II historical thriller Valkyrie (2008), co-wrote/co-produced X-Men: First Class (2011), and directed the fantasy adventure film Jack the Giant Slayer (2013), as well as two more X-Men films, X-Men: Days of Future Past (2014) and X-Men: Apocalypse (2016). Singer also directed the Queen biographical film Bohemian Rhapsody (2018), although he was fired during the last weeks of filming.

Lawsuits containing allegations of sexual assault were filed against Singer in 1997, 2014, and 2017. In 2019, The Atlantic published a report containing multiple allegations of sexual misconduct, which led to him losing several jobs in the entertainment industry.

Description above from the Wikipedia article Bryan Singer, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1965-09-17,"New York City, New York, USA"
Marc Forster,12995,"Marc Forster (born 30 November 1969) is a German-Swiss filmmaker. He is best known for directing the feature films Monster's Ball, Finding Neverland, Stranger than Fiction, Quantum of Solace, World War Z, and Christopher Robin, and has directed numerous television commercials as well. He is a BAFTA, Golden Globe, and Independent Spirit Award nominee.

Description above from the Wikipedia article Marc Forster, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1969-11-30,"Illertissen, Germany"
Andrew Adamson,5524,"Andrew Ralph Adamson, MNZM (born 1 December 1966) is a New Zealand film director, producer and screenwriter based mainly in Los Angeles, California, U.S., where he made the blockbuster animation films, Shrek and Shrek 2 for which he received an Academy Award nomination. He was director, executive producer, and scriptwriter for C. S. Lewis' The Lion, the Witch, and the Wardrobe. Shooting took place in New Zealand, primarily in and around Auckland, but also in South Island where much of Peter Jackson's The Lord of the Rings trilogy was filmed. He also worked on the movies Batman Forever and Batman & Robin as a visual effects supervisor.

He was made a Member of the New Zealand Order of Merit in the 2006 Queen's Birthday Honours List.

Description above from the Wikipedia article Andrew Adamson, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1966-12-01,"Auckland, New Zealand"
Rob Marshall,17633,"Rob Marshall (born October 17, 1960) is an American theater director, film director and choreographer. He is a six-time Tony Award nominee, Academy Award nominee, Golden Globe nominee and four-time Emmy winner whose most noted work is the 2002 Academy Award Best Picture winner Chicago.

Marshall was born in Madison, Wisconsin and raised in Pittsburgh, Pennsylvania. He debuted in the film industry with the Emmy Award-wining TV adaptation of the musical Annie by Charles Strouse and Martin Charnin. After that he went on to direct the much anticipated adaptation of the Kander and Ebb musical Chicago in 2002 for which he was nominated for an Academy Award for Best Director. His next feature film was the drama Memoirs of a Geisha based on the best-selling book of the same name by Arthur Golden starring Zhang Ziyi, Gong Li, Michelle Yeoh and Ken Watanabe. The film went on to win three Academy Awards and gross $162,242,962 at the worldwide box office. In 2009, Marshall directed Nine, an adaptation of the hit Broadway production with the same name starring Daniel Day-Lewis, Marion Cotillard, Nicole Kidman, Sophia Loren and Penélope Cruz, who was nominated for an Academy Award for Best Supporting Actress. Marshall then went on to direct Pirates of the Caribbean: On Stranger Tides, the fourth chapter of Disney's Pirates of the Caribbean film series starring Johnny Depp, Ian McShane, Penélope Cruz and Geoffrey Rush, which is set to open on May 20, 2011.

Description above from the Wikipedia article Rob Marshall, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1960-10-17,"Madison, Wisconsin, USA"
Barry Sonnenfeld,5174,"From Wikipedia, the free encyclopedia.

Barry Sonnenfeld (born April 1, 1953) is an American filmmaker and television director. He worked as cinematographer for the Coen Brothers, then later he directed and produced big budget films such as Men in Black.

Description above from the Wikipedia article Barry Sonnenfeld, licensed under CC-BY-SA, full list of contributors on Wikipedia.​",1953-04-01,"New York City, New York, USA"
Peter Jackson,108,"Sir Peter Robert Jackson, (born 31 October 1961) is a New Zealand film director, producer, actor, and screenwriter, known for his Lord of the Rings film trilogy, adapted from the novel by J. R. R. Tolkien. He is also known for his 2005 remake of King Kong and as the producer of District 9. He won international attention early in his career with his ""splatstick"" horror comedies, before coming to mainstream prominence with Heavenly Creatures, for which he shared an Academy Award Best Screenplay nomination with his wife, Fran Walsh. Jackson has been awarded three Academy Awards in his career, including the award for Best Director in 2003.

Description above from the Wikipedia article Peter Jackson, licensed under CC-BY-SA, full list of contributors on Wikipedia",1961-10-31,"Pukerua Bay, North Island, New Zealand"
Marc Webb,87742,"Marc Preston Webb (born August 31, 1974) is an American filmmaker and music video director. Webb made his feature film directorial debut in 2009 with the romantic comedy “500 Days of Summer” and went on to direct “The Amazing Spider-Man” (2012) and “The Amazing Spider-Man 2” (2014), which were later dubbed the ""Webb-Verse"" by Marvel Studios in 2021. He also directed the drama films “Gifted” and “The Only Living Boy in New York” (both 2017) and the Disney remake of “Snow White” (2025).

Description above from the Wikipedia article Marc Webb, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1974-08-31,"Bloomington, Indiana, USA"
Ridley Scott,578,"Sir Ridley Leighton Scott (born 30 November 1937) is an English filmmaker. He directs films in the science fiction, crime, and historical epic genres with an atmospheric and highly concentrated visual style. He ranks among the highest-grossing directors, with his films grossing a cumulative $5 billion worldwide. He has received many accolades, including the BAFTA Fellowship for Lifetime Achievement in 2018, two Primetime Emmy Awards, and a Golden Globe Award. He was knighted by Queen Elizabeth II in 2003 and appointed a Knight Grand Cross by King Charles III in 2024.

An alumnus of the Royal College of Art in London, Scott began his career in television as a designer and director before moving into advertising as a director of commercials. He made his film directorial debut with The Duellists (1977) and gained wider recognition with his next film, Alien (1979). Though his films range widely in setting and period, they showcase memorable imagery of urban environments, spanning 2nd-century Rome in Gladiator (2000) and its 2024 sequel, 12th-century Jerusalem in Kingdom of Heaven (2005), medieval England in Robin Hood (2010), ancient Memphis in Exodus: Gods and Kings (2014), contemporary Mogadishu in Black Hawk Down (2001), futuristic cityscapes of Los Angeles in Blade Runner (1982) and extraterrestrial worlds in Alien, Prometheus (2012), The Martian (2015) and Alien: Covenant (2017).

Scott has been nominated for three Academy Awards: Directing for Thelma & Louise, Gladiator, and Black Hawk Down. Gladiator won the Academy Award for Best Picture and received a nomination in the same category for The Martian. In 1995, Scott and his brother Tony received a British Academy Film Award for Outstanding British Contribution to Cinema. Scott's films Alien, Blade Runner and Thelma & Louise were each selected for preservation in the United States National Film Registry by the Library of Congress for being considered ""culturally, historically, or aesthetically significant"". In a 2004 BBC poll, Scott was ranked 10 on the list of most influential people in British culture. Scott also works in television and has earned 10 Primetime Emmy Award nominations. He won twice, for Outstanding Television Film for the HBO film The Gathering Storm (2002) and Outstanding Documentary or Nonfiction Special for the History Channel's Gettysburg (2011). He was Emmy-nominated for RKO 281 (1999), The Andromeda Strain (2008), and The Pillars of the Earth (2010).",1937-11-30,"South Shields, County Durham, England, UK"
Chris Weitz,3288,"Christopher John Weitz (born November 30, 1969) is an American film director, screenwriter, producer, and actor. He is best known for his work with his brother Paul on the comedy films American Pie and About a Boy; the latter earned the Weitz brothers a nomination for the Academy Award for Best Adapted Screenplay. Among his other main works, Weitz directed the film adaptation of the novel The Golden Compass and the film adaptation of New Moon from the series of Twilight books, wrote the screenplay for Disney's 2015 live-action adaptation of Cinderella, and co-wrote Rogue One: A Star Wars Story with Tony Gilroy.",1969-11-30,"New York City, New York, USA"
Anthony Russo,19271,"Anthony Russo (born February 3, 1970) is an American filmmaker with his brother, Joe Russo, collectively known as the Russo brothers (/ˈruːsoʊ/ ROO-soh). They direct most of their work together. They are best known for directing four films in the Marvel Cinematic Universe (MCU): Captain America: The Winter Soldier (2014), Captain America: Civil War(2016), Avengers: Infinity War (2018), and Avengers: Endgame (2019). Endgame grossed over $2.798 billion worldwide, briefly becoming the highest-grossing film ever. 

The brothers have also worked as directors and producers on the comedy series Arrested Development (2003–2005), Community (2009–2014), and Happy Endings (2011–2012). They won a Primetime Emmy Award for Arrested Development.

Description above from the Wikipedia article Russo brothers, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1970-02-03,"Cleveland, Ohio, USA"
Peter Berg,36602,"Peter Berg (born March 11, 1964) is an American actor, film director, producer and writer. He is known for directing films such as Friday Night Lights, The Kingdom, The Rundown, Hancock and Battleship. He is highly regarded for developing the television series Friday Night Lights, based on the film of the same name which he also directed. In his more recent career he has worked to bring to the big screen true stories of ordinary Americans placed into extraordinary situations (Lone Survivor, Deepwater Horizon, Patriots Day). As an actor he is best known for his role as Dr. Billy Kronk on the 1990s-era CBS medical drama Chicago Hope.

Description above from the Wikipedia article Peter Berg, licensed under CC-BY-SA, full list of contributors on Wikipedia​",1964-03-11,"New York City, New York, USA"
Colin Trevorrow,930707,"Colin Trevorrow (US: /trəˈvɑːroʊ/; born September 13, 1976) is an American film director, producer, and screenwriter. He made his feature directorial debut with the science fiction comedy Safety Not Guaranteed (2012), which was a critical and commercial success. Trevorrow achieved mainstream recognition for the Jurassic World franchise, which began when he co-wrote and directed the eponymous first instalment in 2015. The film earned more than $1.6 billion at the worldwide box office. After the success of Jurassic World, Trevorrow co-wrote the 2018 sequel Fallen Kingdom and co-wrote and directed the third instalment Dominion (2022). He was also the co-writer and director of Star Wars: Duel of the Fates until his departure in 2017. However, he retained story credit when the project was re-envisioned as The Rise of Skywalker. 

In 2019, Trevorrow founded his film and TV production company, Metronome Film Co., based in London and Los Angeles.

Description above from the Wikipedia article Colin Trevorrow, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1976-09-13,"San Francisco, California, USA"
Shane Black,1108,"Shane Black (born December 16, 1961) is an American filmmaker and actor who has written such films as Lethal Weapon, The Monster Squad, The Last Boy Scout, Last Action Hero, and The Long Kiss Goodnight. He is also known as the original creator of the Lethal Weapon franchise. As an actor, Black is best known for his role as Rick Hawkins in Predator (1987).

He made his directorial debut with the film Kiss Kiss Bang Bang in 2005. Black went on to write and direct Iron Man 3 (2013), The Nice Guys (2016), and The Predator (2018).",1961-12-16,"Pittsburgh, Pennsylvania, USA"
Tim Burton,510,"Timothy Walter Burton (born August 25, 1958) is an American filmmaker and animator. He is known for pioneering goth subculture in Hollywood, with his films employing a distinctive style that blends gothic horror and dark fantasy aesthetics with whimsical and surreal elements. He has received numerous accolades, including one Emmy Award and nominations for two Academy Awards, a Golden Globe Award, and three BAFTA Awards. He was honoured with the Venice International Film Festival's Golden Lion for Lifetime Achievement in 2007 and France's Order of Arts and Letters in 2010.

Burton made his directorial debut with the comedy film Pee-wee's Big Adventure (1985). He gained wider prominence for directing Beetlejuice (1988) and Edward Scissorhands (1990), as well as producing The Nightmare Before Christmas (1993), which was based on a poem he wrote. He had directed films spanning a variety of genres such as animation, biopic, drama, fantasy, musical, science fiction, superhero, and supernatural horror; these include Batman (1989), Batman Returns (1992), Ed Wood (1994), Mars Attacks! (1996), Sleepy Hollow (1999), Planet of the Apes (2001), Big Fish (2003), Charlie and the Chocolate Factory (2005), Corpse Bride (2005), Sweeney Todd: The Demon Barber of Fleet Street (2007), Alice in Wonderland (2010), Dark Shadows (2012), Frankenweenie (2012), Big Eyes (2014), Dumbo (2019), and Beetlejuice Beetlejuice (2024).

Burton has directed several episodes of the Netflix series Wednesday (2022–present), for which he was nominated for the Primetime Emmy Award for Outstanding Directing for a Comedy Series. He frequently collaborates with musician Danny Elfman, who has scored all but three of his films. He has also published several books, including The Melancholy Death of Oyster Boy & Other Stories (1997).

Description above from the Wikipedia article Tim Burton, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1958-08-25,"Burbank, California, USA"
Brett Ratner,11091,"Brett Ratner (born March 28, 1969) is an American film director and producer. He directed the Rush Hour film series, The Family Man, Red Dragon, X-Men: The Last Stand, Tower Heist, and Hercules. He is a producer of several films, including the Horrible Bosses series, as well as executive producer on other projects, including the films The Revenant and War Dogs and the television series Prison Break.

Ratner got his start directing with music videos in the 1990s and directed his first motion picture, Money Talks, in 1997. Overall, the films Ratner has directed have earned over $2 billion at the global box office. Ratner is the co-founder of RatPac Entertainment, a film production company. Ratner led RatPac's partnership with Dune Entertainment in September 2013 for a co-producing deal with Warner Bros. that included 75 films. RatPac Entertainment has co-financed 81 theatrically released motion pictures, exceeding $17 billion in worldwide box office receipts. RatPac's co-financed films have been nominated for 59 Academy Awards, 25 Golden Globes, and 43 BAFTAs and have won 25 Academy Awards, 8 Golden Globes, and 24 BAFTAs. In January 2017, Ratner received a star on the Hollywood Walk of Fame for his contributions to the motion picture industry, located at 6801 Hollywood Boulevard.

In 2017, numerous women in Hollywood came forward with allegations of sexual misconduct, sexual assault, or harassment against Ratner.

Description above from the Wikipedia article Brett Ratner, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1969-03-28,"Miami Beach, Florida, USA"
Dan Scanlon,225976,"Dan Scanlon (born June 21, 1976) is an American animator, storyboard artist and director, working for Pixar, for whom he has directed Monsters University and Onward.

Scanlon was an animator for Pocahontas II: Journey to a New World, The Indescribable Nth and Joseph: King of Dreams. He served as a storyboard artist for The Little Mermaid II: Return to the Sea and 101 Dalmatians II: Patch's London Adventure.

Scanlon joined Pixar in 2001, where he was a story artist for Cars and Toy Story 3. He co-directed the short film Mater and the Ghostlight. He illustrated part one of Unmentionables, a comic book written by his wife, Michele Scanlon, and wrote and directed the live-action feature film Tracy. Tracy was Scanlon's first feature film as a writer/director. He also served as a member of the senior creative team on Brave and Inside Out.

Scanlon and his wife Michele live in San Francisco and work together on projects under the production company name Caveat Productions.",1976-06-21,"Clawson, Michigan, USA"
Michael Bay,865,"Michael Benjamin Bay (born February 17, 1965) is an American filmmaker. He is best known for making big-budget, high-concept action movies with fast cutting, stylistic cinematography and visuals, and extensive use of special effects, including frequent depictions of explosions. The films he has directed include Bad Boys (1995) and its sequel Bad Boys II (2003), The Rock (1996), Armageddon (1998), Pearl Harbor (2001), the first five films in the Transformers film series, 13 Hours: The Secret Soldiers of Benghazi (2016), 6 Underground (2019), and Ambulance (2022). His films have grossed over US$7.8 billion worldwide, making him one of history's most commercially successful directors.

He is co-founder of the production house the Institute and co-owns Platinum Dunes, a production house that has remade horror films, including The Texas Chainsaw Massacre (2003), The Amityville Horror (2005), Friday the 13th (2009), and A Nightmare on Elm Street (2010).",1965-02-17,"Los Angeles, California, USA"
Joseph Kosinski,86270,"Joseph Kosinski (born May 3, 1974) is an American film director. He directed the films Tron: Legacy (2010), Oblivion (2013), Only the Brave (2017), Top Gun: Maverick (2022), Spiderhead (2022), and F1 (2025). His previous work in computer graphics and computer-generated imagery (CGI) primarily involved CGI-related television commercials, including the ""Starry Night"" commercial for Halo 3 and the award-winning ""Mad World"" commercial for Gears of War.",1974-05-03,"Marshalltown, Iowa, USA"
John Lasseter,7879,"John Alan Lasseter is an American film director, producer, screenwriter, animator, voice actor, and the head of animation at Skydance Animation. He was previously the chief creative officer of Pixar Animation Studios, Walt Disney Animation Studios, and Disneytoon Studios, as well as the Principal Creative Advisor for Walt Disney Imagineering.

Lasseter's first job was with The Walt Disney Company, where he became an animator. Next, he joined Lucasfilm, where he worked on the then-groundbreaking use of CGI animation. After Lucasfilm became Pixar in 1986, Lasseter oversaw all of Pixar's films and associated projects as executive producer and he directed Toy Story, A Bug's Life, Toy Story 2, Cars, ""Toy Story 3"" and ""Cars 2"".

He has won two Academy Awards, for Animated Short Film (Tin Toy), as well as a Special Achievement Award (Toy Story).",1957-01-12,"Hollywood, Los Angeles, California, USA"
